,translation
1110,"{'en': 'Makes it so much more real', 'hi_en': 'haan sach mein bahut real ka tha'}"
1111,"{'en': ""Yes, I do too. My husband actually hates it when he finds out the story was fiction, so he'd like that too."", 'hi_en': 'haan, muje bhi.. mera husband tho isse hate karte hein kyon ki voh fictionka story dekhna pasand karte lekin, is story tho unhe bhi pasand aaya..'}"
1112,"{'en': 'HI', 'hi_en': 'KAISE HAIN'}"
1113,"{'en': 'Hey there.', 'hi_en': 'AAP KIDER HAIN'}"
1114,"{'en': 'HOW IS MOVIE', 'hi_en': 'MOVIE KAISA HAIN'}"
1115,"{'en': ""I don't know. I don't have the document with the movies name. What is the movie's title?"", 'hi_en': 'MUJHE NAHI PATHA.MERE PAAS IS MOVIE KE NAAM KE BAREKUCH PATHR NAHIN HAIN.MOVIE KA NAAM KYA HAIN?'}"
1116,"{'en': 'Do you have the document?', 'hi_en': 'AAP KE PAAS PATHR HAIN'}"
1117,"{'en': 'AVENGERS', 'hi_en': 'AVENGERS'}"
1118,"{'en': 'CHARACTERS ARE VERY INTERESTINGS', 'hi_en': 'BHIMIKA BAHUT DILCHASP HAIN'}"
1119,"{'en': 'YA I HAVE DOCUMENT', 'hi_en': 'MEREPAAS PATR HAIN'}"
1120,"{'en': 'Oh cool! I really liked the first two movies. ', 'hi_en': 'OH BADHIA MUJHE PAHALE VALA DO MOVIE BAHUT ACHHA LAGA'}"
1121,"{'en': 'REALLY', 'hi_en': 'VAASTAV ME'}"
1122,"{'en': 'Is it the same cast of characters? Iron Man? Thor? Black Widow? Captain America?', 'hi_en': 'Kya isme characters ka same cast hai? Iron Man? Thor? Black Widow? Captain America?'}"
1123,"{'en': 'MISSING HULK NAME', 'hi_en': 'Hulk ka naam missing hai'}"
1124,"{'en': 'Oh yeah! Forgot about the Hulk. Does it say what the movie is going to be about? Like the plot?', 'hi_en': 'Oh haan. Hulk k baare me bhool gaya. Kya ye batate hai movie kis baar me hogi? Like plot?'}"
1125,"{'en': 'TONY STARK ACTING IS VERY AMAZING', 'hi_en': 'Tony Stark ki acting bahut amazing hai'}"
1126,"{'en': 'I agree! Robert Downey Jr. is a good actor. ', 'hi_en': 'Maanta hu! Robert Downey Jr. accha actor hai.'}"
1127,"{'en': 'What is this new Avengers movie about?', 'hi_en': 'Ye nayi avengers movie kis baare me hai ?'}"
1128,"{'en': 'DO U LIKE HIM', 'hi_en': 'Kya tumhe wo pasand hai?'}"
1129,"{'en': 'I do.', 'hi_en': 'Haan'}"
1130,"{'en': 'ME ALSO', 'hi_en': 'Mujhe bhi'}"
1131,"{'en': 'Does the document describe who the enemy is?', 'hi_en': 'Kya wo document describe karta hai enemy kaun hai?'}"
1132,"{'en': 'S ', 'hi_en': 's'}"
1133,"{'en': 'WHO IS THAT PERSON', 'hi_en': 'wo kon insan hai'}"
1134,"{'en': 'Who is the enemy in the movie?', 'hi_en': 'dushman kon hai movie mai?'}"
1135,"{'en': 'ILOKI', 'hi_en': 'loki'}"
1136,"{'en': 'LOKI', 'hi_en': 'loki'}"
1137,"{'en': ""Ah I see! Thor's brother. Have you seen the first two films?"", 'hi_en': 'oh maine thor ka bhai dekha kya tumne pehli do film delhi hai?'}"
1138,"{'en': 'HE IS THE LEADER OF AN CHITAURI', 'hi_en': 'kya wo kisi chitauri ka neta hai'}"
1139,"{'en': 'When will the movie be released?', 'hi_en': 'movie kab release hogi?'}"
1140,"{'en': 'YA I SAW', 'hi_en': 'ha maine dekha'}"
1141,"{'en': '2012', 'hi_en': '2012'}"
1142,"{'en': 'Did it receive good reviews?', 'hi_en': 'Kya use acche reviews mile?'}"
1143,"{'en': 'U ALSO AH', 'hi_en': 'Tum bhi ah'}"
1144,"{'en': 'The movie is called The Imitation Game, a drama that received a score of 91% on Rotten Tomatoes.', 'hi_en': 'movie ka naam The Imitation Game hai, ek drama jo Rotten Tomatoes main 91% score mila.'}"
1145,"{'en': 'Nice, what is the movie about?', 'hi_en': 'Badhiya, movie kis baare meinhai?'}"
1146,"{'en': 'Have you heard of this movie?  It is about a cryptanalyst named Alan Turing who decrypted German intelligence codes for the British government during WW2.', 'hi_en': 'Is movie ke baare suna tumne? Wo ek cryptanalyst Alan Turing naam ke vyakti ke bare mein hai jisne German intelligence codes ko decrypt kia British Government ke liye WW2 ke dauran.'}"
1147,"{'en': 'I have not heard about it. If sounds like it would be a good movie. I already like the plot of the movie. Who plays in it? ', 'hi_en': 'Uske baare mein nahi suna maine.Lagta hai accha movie hai.Already muje us movie ka plot accha laga.Kaun play kar raha hai usme?'}"
1148,"{'en': ""This movie stars Benedict Cumberbatch as Alan Turing, Keira Knightley as Joan Clarke, Matthew Goode as Hugh Alexander and Tom Goodman-Hill as Sgt. Staehl - in all honesty I don't think I have heard of any of them haha."", 'hi_en': 'Is movie mein Benedict Cumberbatch ne Alan Turing, Keira Knightley ne Joan Clarke, Matthew Goode ne Hugh Alexander aur  Tom Goodman-Hill  ne Sgt character nibhaya hai. Staehl - honestly maine in kisi ke bare mein nahi suna hai haha.'}"
1149,"{'en': 'I have heard of Keira Knightley, I liked the Disney Pirate moves with Jack Sparrow. She played in all the movies. Good actress. I am surprised you have not heard of her. ', 'hi_en': 'Maine Keira Knightley ke bare mein suna hai, Mujhe Disney Pirate ke moves Jack Sparrow ke ssath  ache lage. Woh sare movies me play ki. Acchi actress. Mujhe surpise hai ki tumne uske bare mein suna nahi.'}"
1150,"{'en': ""I have seen the movies, other than Johnny Depp and Orlando Bloom I probably couldn't name the rest of the cast."", 'hi_en': 'Maine movies dekha hai. Johnny Depp aur Orlando Bloom ke alava probably kisi ka naam nahi bata paya cast mein.'}"
1151,"{'en': 'The Imitation Game received great reviews from critics and a CinemaScore of A+', 'hi_en': 'The Imitation Game ko badhiya reviews mile critics se aur A+ CinemaScore se'}"
1152,"{'en': 'I do not think I can either, I would need to google them just to see who they are and what they have been in the past. I hope they put together a good cast and crew for this movie. ', 'hi_en': 'Mujhe nahi lagta mujhe Google krna padega ye dekhne ke liye ki wo kaise he aur wo vartaman kal me kaise the. Me asha karta hu ki wo achi film cast aur baki member ko movie me lenge.'}"
1153,"{'en': 'that is nice, that gives me hope that it will be good. ', 'hi_en': 'Ye acha he, ye mujhe asha deta he aur acha he.'}"
1154,"{'en': 'The Imitation Game is directed by Morten Tyldum, are you familiar with any of his other movies?', 'hi_en': 'The Imitation Game Morten Tyldum ne direct kiya he, kya aap inki bakio ki film se vanchit ho?'}"
1155,"{'en': 'I dont think so, what else has he produced? ', 'hi_en': 'Mujhe nahi lagta ki usne aur kuch banaya he.'}"
1156,"{'en': 'I honestly have no idea...  ', 'hi_en': 'Mujhe sachme koi idea nai he.'}"
1157,"{'en': ""I'm sorry, this is taking too long to progress to the next one I'm going to return this HIT."", 'hi_en': ""I'm sorry, mujhe bohot time lag raha he dusre task pe jane ke liye aur me ye HIT se wapas chala jaunga.""}"
1158,"{'en': 'Another item we would have to google to look up. ', 'hi_en': 'Dusra item ke liye hume Google karna padega.'}"
1159,"{'en': 'Hi', 'hi_en': 'Hi'}"
1160,"{'en': 'Hi, give me a minute...', 'hi_en': 'Hi, mujhe ek minute de...'}"
1161,"{'en': 'ok, I am here...', 'hi_en': 'ok, here me hu..'}"
1162,"{'en': 'do you know movie The Post?', 'hi_en': 'kya tumhe  The post movie ke bare me knowledge he'}"
1163,"{'en': ""it' s historical political thriller..."", 'hi_en': 'yah yek rajnaitk thriller hai'}"
1164,"{'en': 'do you like such films?', 'hi_en': 'kya tum iesi moive like karte ho'}"
1165,"{'en': 'I have to watch it again... I love Maryl Streep...', 'hi_en': 'mai ise dobara dekhna pasand karege muje maryl  streep pasand hai'}"
1166,"{'en': 'Hi, are you still there?', 'hi_en': 'hi kya tum ab tak vaha ho'}"
1167,"{'en': 'yes..', 'hi_en': 'ha'}"
1168,"{'en': 'do you know this film?', 'hi_en': 'kya tum ish film ke bare me jante ho'}"
1169,"{'en': 'The Post?', 'hi_en': 'the post kya hai'}"
1170,"{'en': ""I am not 'there' "", 'hi_en': 'mai vaha nahi hu'}"
1171,"{'en': 'I am here :)', 'hi_en': 'mai yaha hu'}"
1172,"{'en': 'hellooo!', 'hi_en': 'hello'}"
1173,"{'en': 'do you like movies of historical, political genre?', 'hi_en': 'kya tumhe historical political genre wali movies pasand hai?'}"
1174,"{'en': 'Do you like films produced by Steven  Spielberg?', 'hi_en': 'tumhe Steven Spielberg dwara produce ki gayi filme pasand hai?'}"
1175,"{'en': 'do you like Tom Hanks?', 'hi_en': 'kya tumhe Tom Hanks pasand hai?'}"
1176,"{'en': 'or Meryl Streep?', 'hi_en': 'ya Meryl Streep?'}"
1177,"{'en': ""Hey, there's this movie called Bruce Almighty with Jim Carrey in it, have you seen it or would you like to?"", 'hi_en': 'Hey, waha pe Bruce Almighty movie lagi hai, jisme Jim Carrey hai, tumne dekhi hai kya? Kya tum dekhna chahoge?'}"
1178,"{'en': ""I haven't seen it."", 'hi_en': 'Nahi, maine nahi dekhi.'}"
1179,"{'en': 'Have you seen it?', 'hi_en': 'Kya tumne dekhi hai?'}"
1180,"{'en': ""What's it about?"", 'hi_en': 'yeh kis baare mein hai?'}"
1181,"{'en': ""I have seen it, it's really funny. It's a comedy made in 2003 about a down on his luck tv reporter who complains to god and in return becomes god for a week"", 'hi_en': 'maine dekha he ise, yeh bahut funny hai. yeh ek comedy hai jo 2003 mein bani hai, yeh ek badkismat tv reporter ke baare mein hai jo bhagwan se complain karta hai aur badle mein khud ek hafte ke liye bhagwan ban jaata hai.'}"
1182,"{'en': ' I like comedies. Is Jim Carrey pretty good in it?', 'hi_en': 'mujhe comedies pasand hai. kya Jim Carrey achcha hai is mein?'}"
1183,"{'en': 'it is known as one of his best films, so I would say yes, it is very slapstick comedy', 'hi_en': 'yeh uski ek behtereen film mein se ek hai, isliye mein kahoonga ke haan, yeh ek bahut hi slapstick comedy hai.'}"
1184,"{'en': 'Is it also a romance?', 'hi_en': 'isme romance bhi hai?'}"
1185,"{'en': ""no, it's a comedy"", 'hi_en': 'nahin, yeh ek comedy hai.'}"
1186,"{'en': 'no it is not', 'hi_en': 'nahin, yeh nahin hain.'}"
1187,"{'en': 'Too bad. I like romantic comedies.', 'hi_en': 'too bad, mujhe romantic comedies achche lagte hain.'}"
1188,"{'en': 'Does being God work out for him?', 'hi_en': 'bhagwaan ban ne se uske ke liye work out ho jaata hai kya?'}"
1189,"{'en': 'Hi', 'hi_en': 'hi'}"
1190,"{'en': 'what is the name of the movie?', 'hi_en': 'movie ka naam kya hai'}"
1191,"{'en': 'Bruce Almighty ', 'hi_en': 'Bruce Almighty'}"
1192,"{'en': 'what is the movie about', 'hi_en': 'movie kis baare mein hai'}"
1193,"{'en': 'The movie is about a tv reporter who complains about Gods presence in his life guidance and so is offered the chance to do his job for one week', 'hi_en': 'Movie ek tv reporter ke baare mein jo uski life guidance mein God ki presence ke baare mein complain karta hai aur isliye usey ye job ek week ke liye karne ka chance milta hai'}"
1194,"{'en': 'That sounds interesting.', 'hi_en': 'sahi lag raha hai'}"
1195,"{'en': 'It is a well written comedy, have you seen it?', 'hi_en': 'ye ek well written comedy hai, tumne dekhi hai?'}"
1196,"{'en': ' It features an all star cast of Jim Carrey, Jennifer Aniston, Morgan Freeman, Lisa Ann Walker and Phillip Baker Hall. ', 'hi_en': 'ye all star cast of Jim Carrey, Jennifer Aniston, Morgan Freeman, Lisa Ann Walker aur Phillip Baker Hall ko feature karti hai'}"
1197,"{'en': 'Not the whole thing just bits and pieces.', 'hi_en': 'puri nahi just bits and pieces'}"
1198,"{'en': 'I like comedies with Jim Carrey in them', 'hi_en': 'mujhe wo comedies achi lagti hain jisme Jim Carrey ho'}"
1199,"{'en': 'I have seen Even Almighty it similar to that one?', 'hi_en': 'maine Even Almighty dekhi hai kya wo similar hai iske'}"
1200,"{'en': 'me too! ', 'hi_en': 'me too!'}"
1201,"{'en': 'I am not sure I at liberty to disclose that lol?', 'hi_en': 'mujhe sure nahi ki mujhe ye disclose karne ki liberty hai lol?'}"
1202,"{'en': 're: the rules', 'hi_en': 'yahi to rule hai'}"
1203,"{'en': 'Ok', 'hi_en': 'ok'}"
1204,"{'en': 'but  I will tell you a little more about the movie', 'hi_en': 'but mai tumhe movie ke baare me thoda aur bata sakta hu'}"
1205,"{'en': 'ok that would be great', 'hi_en': 'ok, ye bahut achcha hoga'}"
1206,"{'en': 'I keep meaning to watch it but seem to always forget', 'hi_en': 'I hamesha ise dekhne ka mean karti hu but hamesha bhool jati hu'}"
1207,"{'en': 'So Carreys character, Bruce Nolan, is a reporter. Hardworking, but not very successful. He has a lot of bad luck and reaches his limit when his co worker receives a promotion over him', 'hi_en': 'So Carrey ka character, Bruce Nola, ek reporter hai. hardworking hai, but bahut successful nahi hai. Use bahut bad luck rahta hai par par ek limit cross ho jati hai jab uske co worker ko uske pahle promotion diya jata hai.'}"
1208,"{'en': 'He then starts his complaints to God who ends up responding with the proposition that gives him his powers', 'hi_en': 'Wo iske baad God se complain karta, God uski baat par respond karte hai aur ek option dete hai jisse uske pass power aa jati hai'}"
1209,"{'en': ""So its like walk in someone else's shoes to see what they have to deal with."", 'hi_en': 'So iska matlab ki kisi aur ke shoes pahan kar chalo taki pata lage ki kaisa lagta hai.'}"
1210,"{'en': 'More as in ""why God leaves some prayers unanswered""', 'hi_en': 'jyada hone se pata nai kyun bhagwan ne kuch prathnaon ko unsunna kar diya'}"
1211,"{'en': 'oh ok', 'hi_en': 'acha thik hai'}"
1212,"{'en': ""Bruce starts responding with yeses to all the prayers he receives, and as you can imagine that's were a lot of the conflict AND comedy come in to play"", 'hi_en': 'bruce milli hui prathnaon ko haan main jawab dene lagga, aur jaisa tum soch sakte ho vahan par kaafi sangarsh aur comedy hui'}"
1213,"{'en': 'I enjoy comedy that is funny but has a good story line.', 'hi_en': 'muje vo comedy achi lagti hai jo funny bi ho aur achi kahani  sath ho'}"
1214,"{'en': 'oh yea this one definetly has both and then the story to with Jennifer Annistons character as well', 'hi_en': 'acha yeh ik pakke roop me donno aur phir Jennifer Annistons ke character ke sath hi kahani hai'}"
1215,"{'en': 'Would you recommend this movie?', 'hi_en': 'kya tum is movie ki sifarish karoge'}"
1216,"{'en': 'oh yea ', 'hi_en': 'are haan'}"
1217,"{'en': 'From what you have said about Bruce Almighty it seems like a very good movie.', 'hi_en': 'jo tumne kaha hai usse bruce almighty ek baht achi movie lagti hai'}"
1218,"{'en': 'I actually forgot about it, and how well written it is now that I really think about it', 'hi_en': 'muje yaad bhul gea, aur kitna acha likha k ab main iske bare sochne lagga'}"
1219,"{'en': 'its a bit of a tear jerker too lol', 'hi_en': 'yeh ik aanshu jatkane vala bi hai'}"
1220,"{'en': 'I am looking forward to adding it to my list of movies to watch.', 'hi_en': 'mai is movie ko apni dekhi jaane wali list me add karne ke baare soch raha hu.'}"
1221,"{'en': 'I like feel good movies but do cry easy during movies that are tear jerkers.', 'hi_en': 'mai feel good movies like karta hu but in rulane wali movies ke dauran aasani se rone lagta hu.'}"
1222,"{'en': 'I would add this one, its worth watching', 'hi_en': 'mai isse add karunga, yah dekhne layak lag rahi hai'}"
1223,"{'en': 'I hope my movie store has it.', 'hi_en': 'I hope mere movie store mai ye hogi.'}"
1224,"{'en': 'also seems to be a bit of a classic especially with it being Jim Carrey', 'hi_en': 'ye thodi si classic jaisi bhi lag rahi especially is Jim Carrey ke hone se.'}"
1225,"{'en': 'or I will have to find someone that does.', 'hi_en': 'or mujhe aisi to find karni padegi jo aisa karta ho'}"
1226,"{'en': 'I have netflix I will check there', 'hi_en': 'Mere pass netflix hai mai waha check karta hu.'}"
1227,"{'en': 'Thank you for telling me about this movie I appreciate it.', 'hi_en': 'mujhe is movie ke bare me bataane ke liye thank you, I appreciate it'}"
1228,"{'en': 'you still have a movie store lol which one??', 'hi_en': 'tumhare paas abhi bhi movie store hai, lol kaun sa?'}"
1229,"{'en': 'Family Video', 'hi_en': 'Family Video'}"
1230,"{'en': 'Its the only one in town', 'hi_en': 'EK HI HAI NAGAR ME'}"
1231,"{'en': ""I don't believe Netflix has it, but worth checking"", 'hi_en': 'MAIN NETFLIX ME BAROSA NAHI KARTA ,PAR CHEK KARNA HAI'}"
1232,"{'en': 'also red box..', 'hi_en': 'RED BOX BHI'}"
1233,"{'en': 'oh yes, we have one too I forgot about that', 'hi_en': 'OH SAHI  AUR EK BHI MAIN BHOOL GAYA'}"
1234,"{'en': 'oh yeah i forgot about red box', 'hi_en': 'OH YEAH  RED BOX KE BARE ME MAIN BHOOL GAYA'}"
1235,"{'en': 'they should have it, again it is a classic', 'hi_en': 'UNKO HONA CHAHIYE ,VAH EK CLASSIC THA'}"
1236,"{'en': 'either of them might and youre welcome!', 'hi_en': 'KISI EK KO AUR AAP KA SWAGATH'}"
1237,"{'en': 'I hope you enjoy it as much as I did!', 'hi_en': 'MUJHE VISHWAS HAI MERE JAISA AAP KO BHI MAZA AAYA HOGA'}"
1238,"{'en': 'Is your document about the movie ""The Social Network?""', 'hi_en': 'Kya tumhara document movie ""The Social Network"" ke baare mein hai?'}"
1239,"{'en': ""Yes it's about The social Network"", 'hi_en': 'Han ye The social Network ke baare mein hai'}"
1240,"{'en': ""Cool, so we're on the same document.  You know it's got a score of 96% on Rotten Tomatos.  It's pretty darn good."", 'hi_en': 'Cool, to hai ek hi document pe hai. Tumhe pta hai kya ki isse 96% mile hai Rotten Tomatoes pe. Yehn bahut achha hai.'}"
1241,"{'en': 'Yeah the rating is pretty good. Do you check the rating of a movie before you watch it?', 'hi_en': 'Haan rating bahut achhi hai. Kya tum movie dekhne se pehle bhi rating check krte ho?'}"
1242,"{'en': 'I usually do.  I normally check the Metacritic Score.  Since this one was 95/100 I figured it would be pretty good.  Did you know that Amie Hammer played two roles?', 'hi_en': 'Main aamtaur pe krta huin. Main Metacritic ka score check krta huin. Chunki yeh 95/100 tha, mujhe lagta hai ye bahut achha score hai. Kya tumhe pta hai ki Amie Hammer ne do roles play kiye hai?'}"
1243,"{'en': 'I never noticed. Must be a very good actor.', 'hi_en': 'Maine kabhi dhayan nhi diya. Zarur baht achha actor hoga.'}"
1244,"{'en': 'Well, if you look at the document, he played both Cameron and Tyler Winklevoss.', 'hi_en': 'Ok, agar tum document deko to, usne dono Cameron and Tyler Winklevoss ko play kiya hai.'}"
1245,"{'en': 'Do you think Mark Zuckerberg really behaved like the actor in the movie?', 'hi_en': 'Tumhe lagta hai ki Mark Zuckerberg ne ek actor ki tarah behave kiya hai movie mein?'}"
1246,"{'en': 'Jesse Eisenberg did a good job of playing the brilliant hero, Founder Mark Zuckerberg.  I thought it was exciting and instinctivly perceptive.', 'hi_en': 'Jesse Eisenberg ne bahut achha kaam kiya hai brilliant hero ka role play krke, Founder Mark Zuckerberg. Mujhe laga ki yeh romaanchak aur sahaj perceptive hai.'}"
1247,"{'en': ""I think Justine Timberlake should stick to singing. I didn't buy his role for one second. Did you?"", 'hi_en': 'Mujhe lagta hai ki Justin Timberlakeko singing hi krte rehna chahiye. Maine ek second ke liye unki bhoomika nahin kharidi. kya tumane?'}"
1248,"{'en': 'You know the character of Mark Zuckerberg was only 19 and he basically started Facebook after being dumped by his girlfriend.', 'hi_en': 'jab mark zuckerberg 19 ke they tab unhone facebook ko start kiya, tab uska girlfriend unhe dumped kiya tha'}"
1249,"{'en': 'Yeah. That was a really shallow move by Mark. Though I bet she regrets it now.', 'hi_en': 'acha,, voh tho vaakahi mein shallow move hein mark ko.. lekin voh ache regret karke hogi'}"
1250,"{'en': 'Regret is speculative.  The movie\'s main source was a book called ""The Accidental Billionaires"" which was was a contentious book that may or may not be believed.  ', 'hi_en': 'regret tho speculative hein.. is movie ka main source hein book jo"" the accidental billionaires"" , jinme kahi maanthe hein'}"
1251,"{'en': 'Do you agree with the CinemaScore Rating?', 'hi_en': 'kya aap ko cinema score ka rating par bharosha hein?'}"
1252,"{'en': 'Yes. I totally agree on the rating. It really was a good movie', 'hi_en': 'haan, mein unka rating totally agree kartha.. voh vaakahi mein ache movie hein'}"
1253,"{'en': 'You know the whole Facebook Experiment started out as a way to increase the dating pool for Harvard students.', 'hi_en': 'yeh whole facebook ka experiment tho us harvard students ke liye banaya gaya hein, jo dating pool ko increase karne ke'}"
1254,"{'en': 'Yeah i can see that. Do you think it worked?', 'hi_en': 'haan muje dekh raha hein.. kya yeh work hoga?'}"
1255,"{'en': ""I don't think people from Harvard have trouble getting dates.  Do you remember who Andrew Garfield played?"", 'hi_en': 'muje nahi lagtha hey ki harvard ko trouble hoga dates ko paane mein.. kuch andrew garfield ka play yaad hein?'}"
1256,"{'en': ""I really don't. I was surprised to find out how the name facebook came about. Do you think Christy Lee brags about it?"", 'hi_en': 'nahi yar.. muje tho surprised huva jab facebook ka naam bahar aaya tho.. tho christy lee ke brags ke baare mein kya soch raha hein?'}"
1257,"{'en': 'Perhaps.  I found it interesting that before Facebook, it was called ""The Facebook.""  Do you remember the co-founder of Napster?', 'hi_en': 'tho facebook tho interesting hein, mein tho usse THE FACEBOOK hi bolta , kya aapko napster ka cofounder yaad hein?'}"
1258,"{'en': 'Yes. He actually made them drop ""The"" from the name to become just Facebook.', 'hi_en': 'Han. Usne vaastav mein ""The"" ko nam se hta diya sirf Facebook banane ke liye.'}"
1259,"{'en': 'Do you remember where they moved to in California when they started the company?', 'hi_en': 'Kya tumhe pta hai ki wo California mein kahan gye jab unhone company start ki thi?'}"
1260,"{'en': 'I believe they used the house as the company headquarters.', 'hi_en': 'Mujhe lagt hai ki unhone ghar ka use kiya tha company headquarters ke taur par.'}"
1261,"{'en': 'Do you remember how much academic probation Ma rk Zuckerberg got?', 'hi_en': 'Kya tumhe yaad hai ki Mark Zuckerberg ko kitni acedemic probation mili thi?'}"
1262,"{'en': 'Yes. I hear silicon valley has one of the higest rates in rent', 'hi_en': 'Han. Maine suna hai ki silicon valley mein sabse zyada rent rate hai'}"
1263,"{'en': 'yeah I think it was 6 months probation? correct me if I am wrong', 'hi_en': 'han mujhe lagta hai ki 6 months ka probation? Mujhe sahi kar dijiye agar main galat huin to'}"
1264,"{'en': 'Yes, it was 6 months of Academic probation.  I enjoyed how the narrative was inter cut with scenes from the deposition,  What did you like?', 'hi_en': 'Han, wo 6 months ka Academic probation tha. Mujhe maja aaya ki kaise narrative ne inter cut ke saath scenes ki deposition ki, tumhe kya achha lga?'}"
1265,"{'en': 'I liked the whole court process. I think everyone came out a winner', 'hi_en': 'Mujhe saari court process achhi lagi. Mujhe lagta hai ki sabhi winner bane.'}"
1266,"{'en': ""I agree.  Everybody got rich.  Do you remember that last scene when Zuckerberg kept refreshing his old girlfriend's page?  I liked that.  What scene did you like?"", 'hi_en': 'Main sehmat huin. Sabhi ameer ho gye. Kya tumhe wo last scene yaad hai jab Zuckerberg baar baar apni purani girlfriend ka page refresh krta rehta hai? Tumhe konsa scene pasand aaya?'}"
1267,"{'en': 'I particularly liked the scene where Zuckerberg hacks into the different college database to steal photos because it portrayed computer programming accurately. ', 'hi_en': 'Mujhe vishesh roop se wo scene pasand aaya jahaan Zuckerberg ne alag-alag college database mein photo churaane ke liye hacking ki kyonki ismein computer programming ko sahi tareeke se portray kiya gya tha.'}"
1268,"{'en': 'That was lame of him. But we all have our days', 'hi_en': 'voh tho uska hi galat hein. sabhi ko apni aap hota'}"
1269,"{'en': 'Hi! I\'ve really enjoyed the movie ""Real Steel"" It was a great movie that was full of adventure!', 'hi_en': 'hi! mein real steel ka movie bahut enjoy kiya... is movie mein tho kaafi adventure hein'}"
1270,"{'en': ""I've seen this one before"", 'hi_en': 'mein pehele bhi yeh dekha hoon'}"
1271,"{'en': 'seems kinda like a typical family-action film with some scifi elements', 'hi_en': 'family action film ke tarah hein thoda scifi elements bhi'}"
1272,"{'en': 'was kinda cool tho', 'hi_en': 'kitna cool hein'}"
1273,"{'en': ""Yes it is sort of the family type of film. But I got very much into the characters especially Hugh Jackman's."", 'hi_en': 'haan kuch family type ka film jaise hi hey.. lekin muje unka characters bahut pasand hein especially hugh jackmans ka'}"
1274,"{'en': 'was interesting to see Hugh play a more domestic role ', 'hi_en': 'kya hugs ko domestic role play karne pe interesting hoga'}"
1275,"{'en': ""normally he's always a loner fighter type"", 'hi_en': 'normally voh loner fighter type ke hein'}"
1276,"{'en': 'Yes but  he played it well and was able to pull it off.', 'hi_en': 'haan, voh ache play kiya hein,'}"
1277,"{'en': 'yeah he played the struggle of the character well', 'hi_en': 'haan, voh is character se ache struggle kiya hein'}"
1278,"{'en': 'I always find it interesting to see what sort of demands actors can get into. I think he fit in with everyone else really well.', 'hi_en': 'Mujhe always interesting lagta hai dekhne me ki actor ki demands kaha tak pahuch sakti hai. I think wo baki sabhi ke sath badhiya fit hua.'}"
1279,"{'en': 'yeah the unusual mix of actors led to a coherent mixture ', 'hi_en': 'yes actors ka unusual mix ki wajah se coherent mixture ban gaya.'}"
1280,"{'en': ""That's definitley true."", 'hi_en': 'ye to definitely true hai'}"
1281,"{'en': 'I enjoyed seeing all of the different robot fighters in the movie s well.', 'hi_en': 'maine enjoy kiya movie me un sabhi different robot fighters ko bhi'}"
1282,"{'en': ""the new paragraph loaded reminds me of how interesting the factor that these robots were an everyday thing in the movie's world"", 'hi_en': 'jo paragraph load hu usne mujhe remind karaya ki ki ye kitna interesting factor tha movie me ki ye robots us movie world me everyday object the..'}"
1283,"{'en': ""like he's just a lower-class dude but he owns a fighting robot"", 'hi_en': 'like wo just ek  lower class dude tha but wo ek fighting robot own karta hai.'}"
1284,"{'en': 'Yeah seeing the draw of their world and how these robots are just sort of common was something that I really liked as well.', 'hi_en': 'Yes unki duniya ka atmosphere dekh ke ki kaise ye robots just common thing hai, yah sach me wo factor tha jo mujhe bhi bahut pasand aaya.'}"
1285,"{'en': 'I thought about what it would be like to really live in that world', 'hi_en': 'I thought about ki really us world me rahne me kaisa lagta hoga'}"
1286,"{'en': ""also interesting how it brings up the point that improved technology doesn't make all problems go away"", 'hi_en': 'also ye bhi interesting point tha ki kaise sirf improved technology is duniya ki saari problems ko whisk away nahi kar sakti.'}"
1287,"{'en': 'this guy still is in debt and so on', 'hi_en': 'ye guy still debt me tha aur so on'}"
1288,"{'en': ""Yes no matter what we have basic life issues will never really change. They'll just come about in a new way."", 'hi_en': 'KUCH BHI HO, LEKIN LIFE ISSUES KO KABHI CHANGE NAHI HOTE.. VOH KAHI NEW WAY MEIN AA HI JAATHA'}"
1289,"{'en': 'that was a pretty good scene (the new paragraph)', 'hi_en': 'KAAFI ACHE SCENE HEIN IS NEW PARAGRAPH MEIN'}"
1290,"{'en': 'kind of hinted at things remaining worse for the guy/son but eventually they fought their way back', 'hi_en': 'HINT KE TARAH HEIN, KUCH GUY KA YAAD AATHA JO EVENTUALLY AAPAS MEIN FOUGHT KIYE THE'}"
1291,"{'en': 'cool to see the human spirit reflected in robots', 'hi_en': 'COOL HE US ROBOTS KO HUMAN SPIRIT SE DEKHNE KA'}"
1292,"{'en': 'Oh yeah lol I remember that...', 'hi_en': 'HAAN YAR, MUJE BHI YAAD HEIN'}"
1293,"{'en': ""It's just the classic underdog story told in a somewhat different way. There will always be trials and triumphs"", 'hi_en': 'YEH THO CLASSIC UNDERDOG STORY JO DIFFERENT WAY MEIN KAHA GAYA HEIN.. TRIALS AUR TRIUMPHS THO AATHE JAATHE HEIN'}"
1294,"{'en': ""As long as humans are around we'll never really intrinsically change ."", 'hi_en': 'JAB TAK HUMANS AAPAS MEIN AATHE TAB TAK HUM KABHI INTRINSICALLY CHANGE NAHI KARTE'}"
1295,"{'en': ""yeah the robots don't change the human life, they just augment it"", 'hi_en': 'HAAN, ROBOTS THO HUMAN LIFE KO NAHI CHANGE KARTE, YEH SIRF AUGMENT HI HEY'}"
